fips,year,pop_check1,state_abbrev,state_name
16,2005,1033590,ID,IDAHO
16,2006,1063916,ID,IDAHO
16,2007,1090081,ID,IDAHO
16,2008,1111973,ID,IDAHO
16,2009,1128363,ID,IDAHO
16,2010,1141569,ID,IDAHO
16,2011,1155369,ID,IDAHO
16,2012,1167926,ID,IDAHO
16,2013,1183066,ID,IDAHO
16,2014,1200934,ID,IDAHO
16,2015,1218559,ID,IDAHO
16,2016,1245890,ID,IDAHO
16,2017,1276702,ID,IDAHO
16,2018,1306940,ID,IDAHO
16,2019,1340944,ID,IDAHO
16,2020,1375870,ID,IDAHO
17,1969,7243362,IL,ILLINOIS
17,1970,7334510,IL,ILLINOIS
17,1971,7428399,IL,ILLINOIS
17,1972,7522938,IL,ILLINOIS
17,1973,7591091,IL,ILLINOIS
17,1974,7669439,IL,ILLINOIS
17,1975,7763258,IL,ILLINOIS
17,1976,7876610,IL,ILLINOIS
17,1977,7980900,IL,ILLINOIS
17,1978,8068058,IL,ILLINOIS
17,1979,8131192,IL,ILLINOIS
17,1980,8199788,IL,ILLINOIS
17,1981,8247583,IL,ILLINOIS
17,1982,8275939,IL,ILLINOIS
17,1983,8301864,IL,ILLINOIS
17,1984,8324765,IL,ILLINOIS
17,1985,8336558,IL,ILLINOIS
17,1986,8338765,IL,ILLINOIS
17,1987,8367379,IL,ILLINOIS
17,1988,8401117,IL,ILLINOIS
17,1989,8442024,IL,ILLINOIS
17,1990,8512479,IL,ILLINOIS
17,1991,8580249,IL,ILLINOIS
17,1992,8660757,IL,ILLINOIS
17,1993,8743038,IL,ILLINOIS
17,1994,8801647,IL,ILLINOIS
17,1995,8855453,IL,ILLINOIS
17,1996,8909081,IL,ILLINOIS
17,1997,8963601,IL,ILLINOIS
17,1998,9046595,IL,ILLINOIS
17,1999,9118986,IL,ILLINOIS
17,2000,9189217,IL,ILLINOIS
17,2001,9244828,IL,ILLINOIS
17,2002,9287194,IL,ILLINOIS
17,2003,9330459,IL,ILLINOIS
